@relation WeatherForecast
@attribute WindSpeedKmph numeric
@attribute WindDirection360 {Variable,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360}
@attribute RelativeHumidityPercent numeric
@attribute AmosphericPressureMb numeric
@attribute DewPointCelcius numeric
@attribute TemperatureCelcius numeric
@data
11,230,58,1007,3,11
19,240,38,1006,-3,11
30,310,71,1001,1,6
19,240,62,1003,2,9
19,100,32,1013,-6,10
31,260,52,1010,-5,4
9,210,81,1011,1,4
6,340,57,1018,-2,6
15,300,81,1020,0,3
19,330,65,1018,-2,4
30,320,93,1010,2,3
13,310,81,1009,0,3
13,190,33,1011,-4,12
11,230,62,1005,3,10
22,260,50,1008,1,11
15,260,44,1003,0,12
26,160,42,997,4,17
39,70,76,1007,5,9
6,300,47,1016,1,12
7,240,81,1016,3,6
7,310,87,1015,3,5
19,280,87,1006,-1,1
4,270,100,1007,0,0
17,110,61,1015,-2,5
17,330,61,1012,-3,4
17,90,81,1007,-1,2
28,300,93,1011,0,1
17,70,93,1002,1,2
30,80,93,1006,3,4
4,Variable,46,1013,-4,7
11,240,45,1015,-7,4
19,310,65,1012,-4,2
17,300,75,1006,0,4
15,200,66,1001,1,7
28,280,87,1005,3,5
48,230,35,1005,-4,11
13,210,54,1008,0,9
20,290,87,1008,1,3
11,70,93,1003,4,5
26,200,67,1006,6,12
17,70,77,1009,8,12
7,40,54,1010,3,12
15,220,67,1011,5,11
26,180,34,1013,-1,15
15,80,71,1022,4,9
4,90,57,1015,0,8
7,300,65,1010,-2,4
19,270,93,1006,1,2
9,170,76,1008,5,9
4,160,51,1015,2,12
15,230,66,1007,3,9
9,220,82,1001,8,11
24,180,71,1002,5,10
24,90,62,1018,3,10
20,100,76,1020,4,8
17,80,71,1017,3,8
11,80,81,1020,-1,2
13,290,81,1020,-2,1
9,90,93,1016,1,2
17,90,87,1027,-2,0
22,100,75,1032,-2,2
15,110,56,1033,-6,2
4,360,64,1029,-6,0
11,300,65,1021,-3,3
6,310,65,1018,-4,2
15,270,93,1009,0,1
4,90,93,1013,1,2
13,90,93,1012,0,1
4,80,93,1018,-6,-5
13,80,79,1021,-12,-9
11,300,74,1027,-6,-2
7,330,69,1024,-5,0
11,90,80,1025,-3,0
15,90,75,1025,-4,0
4,Variable,69,1021,-6,-1
35,300,86,1011,-3,-1
7,290,87,1010,1,3
20,360,76,1012,1,5
7,300,87,1010,3,5
4,50,87,1011,5,7
13,80,66,1017,3,9
13,80,93,1026,-1,0
13,80,100,1027,0,0
4,110,81,1020,4,7
9,90,61,1017,-2,5
20,100,56,1019,-4,4
15,120,75,1028,-1,3
13,100,65,1027,-2,4
22,290,81,1019,-1,2
13,290,81,1012,3,6
17,70,44,1010,1,13
11,80,55,1021,4,13
19,100,62,1020,3,10
19,130,81,1022,4,7
20,80,76,1022,5,9
13,90,82,1023,7,10
11,80,76,1022,6,10
24,100,81,1019,2,5
24,310,87,1019,4,6
13,140,52,1018,6,16
